Timestamp, ax, ay, az
1,-4029,253,-16087
2,-4442,64,-15994
3,-4632,-351,-15795
4,-4430,-323,-15822
5,-4341,-643,-15775
6,-4605,-798,-15434
7,-4704,-942,-15342
8,-4326,-1126,-15576
9,-3911,-1224,-15618
10,-4324,-1236,-15357
11,-5422,-1410,-14953
12,-5347,-1751,-14993
13,-4089,-1698,-16092
14,-1978,-1387,-16611
15,-1342,-1317,-16067
16,-1467,-1296,-15842
17,-1322,-1446,-16211
18,-1348,-1404,-15704
19,-2227,-1030,-15643
20,-2723,-1298,-16270
21,-2100,-1332,-16075
22,-1729,-1196,-15810
23,-1861,-1356,-16287
24,-1765,-1335,-16277
25,-1772,-1072,-16325
26,-1936,-1114,-16472
27,-1876,-1393,-16802
28,-1924,-1393,-17237
29,-1796,-1514,-18084
30,-1375,-1556,-18265
31,-1728,-1266,-17862
32,-3226,-1356,-17030
33,-3494,-1756,-16789
34,-2625,-1566,-17245
35,-2271,-1104,-18108
36,-2907,-828,-18691
37,-4409,-648,-18605
38,-4119,-95,-17658
39,-3326,716,-16441
40,-2483,1089,-15697
41,-1957,1846,-15078
42,-1658,1951,-14610
43,-1563,1752,-14531
44,-1610,1092,-14085
45,-2633,3633,-14690
46,-849,1244,-15373
47,-1408,1301,-14825
48,-305,1168,-14763
49,-603,874,-15110
50,-1203,420,-16013
51,-399,449,-16950
52,5,123,-17040
53,358,-94,-16498
54,422,-300,-16222
55,1219,106,-16374
56,1066,-212,-16281
57,1224,-561,-16255
58,1143,-870,-15784
59,1204,-1042,-15105
60,115,-1620,-14893
61,213,-1484,-15162
62,743,-1400,-15586
63,287,-1957,-15368
64,-202,-2351,-15129
65,-687,-2744,-14416
66,830,-2542,-15536
67,387,-2153,-16189
68,830,-2380,-16167
69,1313,-2527,-15879
70,1664,-2459,-15358
71,1669,-2065,-15290
72,462,-1887,-16754
73,-161,-2577,-17103
74,1102,-3502,-15838
75,1558,-3554,-16186
76,379,-2805,-16863
77,-2067,-2694,-15813
78,-1999,-2557,-14488
79,-10,-2002,-13995
80,-461,-1048,-15532
81,-614,-1322,-16075
82,2023,-2283,-15536
83,3490,-2572,-15589
84,3222,-2015,-16054
85,1698,-1622,-16482
86,1000,-1599,-16595
87,1536,-1550,-16570
88,1719,-1620,-16739
89,1119,-1531,-17022
90,313,-1396,-17064
91,-154,-1457,-16828
92,355,-1440,-16509
93,599,-1266,-16439
94,323,-1024,-16536
95,92,-993,-16175
96,-263,-1068,-15934
97,-536,-980,-15941
98,-702,-1173,-16194
99,-1500,-1479,-16399
100,-1834,-1937,-15656
101,-1490,-2324,-15480
102,-1515,-2929,-16080
103,-1008,-3480,-16638
104,-528,-4190,-16371
105,782,-3363,-16366
106,1570,-2564,-16528
107,643,-2932,-17414
108,438,-3745,-16863
109,846,-3353,-15297
110,975,-1974,-15404
111,1451,-1408,-16063
112,1547,-2518,-16317
113,2520,-3382,-15882
114,3093,-2949,-14491
115,2909,-1445,-14876
116,1584,-1146,-15997
117,1648,-1772,-16412
118,3013,-2253,-16102
119,3869,-2203,-15325
120,3440,-1188,-14658
121,2680,82,-14882
122,1646,117,-15199
123,1349,-690,-15187
124,2296,-1582,-14950
125,3320,-1467,-13812
126,3550,-300,-14097
127,1856,120,-15300
128,290,-585,-15787
129,321,-1273,-16143
130,1827,-1252,-16074
131,3435,8,-15847
132,3184,586,-16318
133,983,216,-16979
134,15,262,-17866
135,1088,889,-17775
136,2831,1681,-17299
137,3258,1948,-17357
138,1104,1456,-17318
139,-1090,1280,-17261
140,-2683,1704,-17786
141,-1394,2301,-17944
142,-17,2148,-17135
143,-523,1656,-16573
144,-1365,1501,-16684
145,-2139,1185,-16791
146,-1630,981,-16725
147,-400,865,-16386
148,-145,512,-16018
149,-416,284,-16040
150,-704,22,-16035
