Timestamp, ax, ay, az
1,6773,-15549,1385
2,7287,-15630,1708
3,7646,-15870,1449
4,7673,-15808,463
5,7597,-15453,626
6,6746,-15274,2227
7,6382,-15132,2429
8,5935,-14952,1119
9,4987,-14718,1259
10,4934,-14592,2405
11,5126,-14372,3112
12,4184,-14037,3448
13,3969,-13896,3642
14,4162,-13525,3749
15,2399,-13192,3992
16,1490,-12288,4398
17,1548,-9591,3447
18,-1320,-14794,5136
19,2403,-13515,5938
20,6138,-13870,3529
21,8022,-13213,3960
22,8203,-12023,8367
23,6949,-11616,10850
24,7229,-11615,10473
25,8374,-12442,8746
26,9824,-12621,7579
27,13106,-12384,8090
28,13257,-11921,7616
29,9917,-11975,8469
30,8909,-11841,10784
31,8554,-11402,10240
32,8909,-11248,8205
33,9177,-14631,5544
34,7690,-16494,4200
35,8162,-15349,7226
36,9606,-13731,11874
37,9496,-12286,11891
38,9025,-10986,7718
39,10946,-9422,5275
40,14761,-11186,895
41,16649,-10191,-640
42,14342,-10058,3726
43,9469,-10302,4872
44,10987,-8889,3405
45,17431,-10263,1316
46,17950,-10819,-3347
47,11087,-9791,4653
48,10940,-10461,5414
49,12175,-9875,4305
50,13125,-9702,6040
51,14081,-9432,595
52,12808,-10320,-9184
53,11281,-7971,5050
54,17018,-7511,7452
55,13284,-7889,4423
56,11049,-7289,3399
57,13100,-7812,1419
58,13920,-9881,668
59,11476,-8201,-668
60,13870,-6456,3680
61,15298,-7562,5261
62,8146,-11884,6552
63,13746,-6273,763
64,16058,-7941,-5734
65,9583,-7905,1054
66,14489,-8170,3794
67,15441,-8092,3383
68,12720,-5743,1850
69,12420,-7183,900
70,11864,-6810,-391
71,13427,-6163,1406
72,15897,-7125,4221
73,15820,-8423,1992
74,12269,-6007,-3217
75,13522,-6082,-2979
76,16386,-7949,-100
77,16717,-7392,1015
78,15440,-7556,421
79,13927,-7214,-1520
80,13646,-6137,-2193
81,15074,-5353,-1128
82,16116,-6284,174
83,14378,-7313,-346
84,11640,-16029,-3435
85,8312,-13175,1206
86,9764,1192,2671
87,14295,-5368,914
88,13662,587,665
89,15398,-4928,-93
90,16643,-4836,1994
91,17505,-2552,4685
92,15968,-1088,2580
93,14959,-3104,-549
94,16595,-3586,1092
95,16394,-3167,1445
96,16324,-1488,2906
97,15664,-2754,2103
98,14237,-5191,-639
99,14928,-6655,-254
100,14745,-6802,-559
101,15756,-5853,592
102,15505,-5980,211
103,14080,-5744,-842
104,13459,-6203,-1829
105,14342,-7583,-1742
106,15622,-6737,313
107,15349,-4568,1319
108,13993,-3567,25
109,12256,-3334,-1936
110,13624,-6852,-1394
111,16088,-10212,880
112,15640,-7578,1891
113,13349,-6554,329
114,12456,-6440,-591
115,12680,-7043,-466
116,13311,-8774,238
117,14147,-8082,1632
118,14380,-6075,2463
119,14134,-6134,1851
120,14806,-5382,1748
121,15448,-5346,1650
122,15597,-6619,801
123,15541,-5008,682
124,15299,-3996,657
125,15394,-3334,1050
126,15369,-1924,1757
127,16156,-2726,2366
128,17001,-4181,2771
129,16766,-4964,2310
130,15895,-4687,1782
131,15299,-3948,2253
132,15981,-5267,2965
133,16557,-7775,2756
134,16390,-7951,2406
135,15744,-6971,2169
136,15507,-6627,2171
137,15621,-5783,2475
138,15184,-5230,2022
139,15520,-5640,2585
140,16258,-5524,3596
141,15767,-3705,3194
142,14988,-2643,2386
143,14867,-3101,2652
144,15142,-3680,3271
145,15312,-3706,3747
146,14957,-4402,3692
147,14524,-5377,3614
148,14187,-5091,4273
149,13781,-3240,4743
150,14456,-4427,4784
151,15441,-7069,4911
152,15379,-6590,5002
153,14429,-5077,4576
154,14362,-4742,4812
155,14731,-4992,5589
156,14958,-6043,5457
157,15259,-6808,5069
158,15412,-5930,5068
159,14935,-4152,5138
160,15123,-2108,6402
161,15993,-3184,7654
162,16929,-5230,8817
163,17329,-5640,9457
164,16605,-5214,8769
165,15601,-4678,8255
166,15019,-5868,7816
167,14929,-8245,7221
168,14812,-9340,6907
169,15445,-11142,7295
170,15444,-11674,7095
171,14911,-10187,6643
172,14569,-10293,5820
173,13509,-8558,5150
174,14607,-6314,6670
175,15696,-4805,7854
176,15713,-4371,7621
177,14137,-5576,5090
178,13366,-4272,4081
179,15020,-3801,5813
180,15622,-1303,7167
181,14088,1439,4739
182,12987,5047,3065
183,11696,8210,2618
184,12783,7064,3281
185,14152,5587,4268
186,14465,3496,3357
187,13573,1179,42
188,12837,2339,-1417
189,16552,425,1486
190,21145,-1641,6069
191,20361,-2376,5658
192,18887,-2751,3539
193,18482,-2286,2658
194,18710,-1198,3672
195,19166,-1953,3818
196,18330,-1557,3101
197,16749,783,1645
198,16310,2225,276
199,16781,2073,324
200,17397,2153,2086
201,16171,2553,1619
202,14669,2781,1159
203,15635,-1018,2169
204,15172,-186,2969
205,13809,4000,4323
206,13681,3161,4351
207,14202,410,4811
208,14307,-485,5588
209,14394,-271,4757
210,14045,973,3405
211,14071,1314,3277
212,15070,-78,5796
213,15307,-251,6572
214,14644,1453,5563
215,14464,1594,2451
216,14475,1474,442
217,15440,467,4696
218,16119,-1149,9255
219,16188,-3754,6522
220,15427,-2051,4054
221,14694,396,4563
222,13647,6132,6278
223,13520,7542,7692
224,15282,3648,8242
225,15484,1414,6732
226,15228,3579,8000
227,14558,5564,10358
228,16267,1529,11461
229,17882,-458,10335
230,16414,1217,7835
231,15614,1547,7448
232,16304,-368,9122
233,19404,-12,9120
234,20157,2213,10023
235,17173,597,8390
236,19798,666,9980
237,15981,761,8040
238,16462,-3130,6225
239,16537,-8240,5169
240,19584,-11466,5656
241,17226,-11141,5467
242,13755,-7246,5759
243,11784,-6825,6199
244,8160,-9481,6661
245,2685,-6999,5112
246,-4942,-968,2949
247,4243,-9707,6395
248,7993,-4360,11592
249,6866,5507,12716
250,4593,-806,11234
251,3103,-6364,12838
252,5169,-2340,17181
253,7631,2423,18896
254,5307,3606,18699
255,14482,12572,28504
256,3041,-1701,27237
257,-7191,-3556,17823
258,638,4754,16149
259,-261,3068,15573
260,2760,-4499,18298
261,-917,-5356,17706
262,-1025,-5163,17433
263,-2596,-4503,16618
264,-3439,-3373,17026
265,-1120,-3877,18396
266,-3835,-4155,16312
267,3010,-5631,17761
268,851,-4206,16916
269,-678,-2485,16149
270,-1584,-2335,16316
271,-1836,-2317,16888
272,-3475,-1227,16517
273,-1414,-975,16089
274,248,-3495,16926
275,859,-4903,16172
276,665,-2550,15983
277,-1057,-2516,16483
278,-2586,-1479,16553
279,-1281,353,16676
280,-2315,-1609,16723
281,-1144,-4611,16633
282,-686,-2524,16445
283,-917,-2525,16079
284,-1374,-2248,16666
285,-1839,-1421,16683
286,-1357,-2198,16744
287,-1503,-2659,16779
288,-2268,-1947,16190
289,-2014,-2119,16218
290,-1589,-1633,16821
291,-1445,-2190,16913
292,-974,-3263,16765
293,-2652,-1724,16986
294,-1758,-2384,16940
295,-1210,-4194,17287
296,-1993,-3625,16954
297,-2213,-3691,16639
298,-2151,-4536,17011
299,-1637,-4760,16808
300,-815,-4297,16316
301,-915,-4424,16384
302,-1444,-4327,16456
303,-1575,-3967,16490
304,-2051,-3478,16594
305,-3640,-2439,15860
306,-135,-1804,16830
307,-1179,-3372,16538
308,-3701,-4561,16540
309,-5097,-1724,16514
310,3259,2346,16119
311,6328,361,15560
312,-7889,-4726,16713
313,-2738,-1647,16525
314,2086,-2162,17442
315,1116,-2497,16809
316,-459,-3638,16832
317,-1038,-3818,17847
318,-466,-2620,17347
319,-720,-3557,16795
320,-891,-3765,16538
321,-508,-2793,17281
322,1143,-2106,17534
323,961,-1076,16576
324,-1044,-1492,17039
325,-4253,-2363,16817
326,-2580,-993,15580
327,-809,-386,15951
328,-765,-2169,17203
329,-1323,-2159,16508
330,-1630,-2022,16341
331,-2206,-2627,16708
332,-1066,-577,16625
333,-971,1427,16812
334,-891,2743,17266
335,110,3295,17496
336,-1519,1570,17459
337,-2836,312,17106
338,-2073,1091,16844
339,-1865,1139,16842
340,-2218,1584,16947
341,-2849,1840,17010
342,-2696,1752,16805
